node,vip,rf_imp,logp,lasso
C00044,0.468125571,0.002791798,0.420362145,0
C00046,0.112138539,2.40E-19,0.022816756,0
C00048,0.159921806,0,0.053723585,0
C00052,0.120080183,0.000955612,0.013370536,0
C00053,0.058094854,0.00244547,0.013281197,0
C00054,0.259345898,1.87E-17,0.017240814,0
C00059,0.086223321,0.003077085,0.007768794,0
C00061,0.122522758,0,0.0166553,0
C00063,0.044081656,0.000731192,0.001383458,0
C00074,0.227487976,0.003210679,0.018946522,0
C00075,0.101740079,3.00E-19,0.019029755,0
C00084,0.404862042,5.81E-18,0.098143584,0
C00085,0.209554754,2.40E-19,0.041165898,0
C00086,0.138356019,0.001157551,0.060513786,0
C00091,0.299710957,0.001015919,0.035913806,0
C00092,0.219400033,0.000834613,0.043398048,0
C00093,0.191960934,0.00050279,0.113778935,0
C00094,0.177354721,0.000844326,0.019827512,0.074291096
C00096,0.089916101,0.000515128,0.020661035,0
C00100,0.053284907,0.003720998,0.003208399,0
C00101,0.146795507,0.000268096,0.018429518,0
C00103,0.218415392,8.15E-18,0.044672141,0
C00105,0.127421858,8.21E-18,0.01606731,0
C00106,0.160676533,2.52E-18,0.040621134,0
C00109,0.054999903,2.40E-19,0.007991889,0
C00111,0.043021338,0.002929659,0.007964343,0
C00112,0.092015327,0.001789852,0.0106676,0
C00114,0.355897411,0.001323015,0.117093671,0
C00117,0.262979256,9.59E-19,0.049372311,0
C00118,0.143506571,0.000511314,0.007598234,0
C00119,0.286203509,0.000258127,0.015426504,0
C00122,0.277556279,0.000516273,0.001933347,0
C00126,0.199614707,0,0.076046096,0
C00127,0.05408623,0.002333966,0.004472098,0
C00128,0.10081032,0,0.027614489,0
C00130,0.298971431,1.17E-17,0.019404809,0
C00131,0.345168104,0.000264768,0.029520309,0
C00132,0.27682608,0.001309086,0.020704369,0
C00134,0.276948883,1.06E-17,0.007555219,0
C00136,0.425033002,0.006982871,0.236691689,0
C00137,0.575999592,0.005112869,0.494462104,0
C00140,0.417823968,0.000259066,0.241819282,0
C00141,0.123822912,0.000472255,0.008972669,0
C00143,0.059542148,0.000725624,0.006446921,0
C00144,0.468121058,1.20E-18,0.420365279,0
C00147,0.28619363,7.73E-18,0.016295918,0
C00153,0.143917114,0.000224883,0.014555156,0
C00154,0.352417294,0.001159075,0.10474085,0
C00156,0.161919065,0.002005758,0.028228834,0
C00158,0.29753393,0,0.047450151,0
C00159,0.048998601,0.001343304,0.002507585,0
C00160,0.156919392,0.001732852,0.04831588,0
C00163,0.072064305,0,0.00698543,0
C00164,0.129229403,0.000754382,0.01060942,0
C00166,0.045396184,4.79E-19,0.000446192,0
C00167,0.136901595,0.000989487,0.012446791,0
C00168,0.24780499,0,0.096010467,0
C00170,0.124759758,4.07E-18,0.0217129,0
C00178,0.084586371,0.000524517,0.015139231,0
C00184,0.039729994,0.000529626,0.005993121,0
C00187,0.260753075,1.92E-18,0.106461091,0
C00189,0.059340283,7.67E-18,0.01492954,0
C00190,0.107315821,0,0.037804693,0
C00191,0.243956315,0.00149461,0.053845275,0
C00197,0.077754939,1.20E-19,0.013428959,0
C00203,0.030702838,0.000880527,0.002695645,0
C00206,0.296669228,0.00174923,0.013732758,0
C00209,0.480701903,0.001289349,0.316420127,0
C00212,0.286250265,1.20E-18,0.011749416,0
C00213,0.25773243,0,0.066697554,0
C00214,0.170821258,0.00026458,0.055515053,0
C00218,0.04353632,3.60E-19,0.007257442,0
C00219,0.082910832,0.001413978,0.067728516,0
C00221,0.217358018,1.43E-17,0.043556998,0
C00223,0.065020509,0.000738147,0.009004727,0
C00224,0.123184647,0.001452645,0.012547634,0
C00232,0.034829796,0.00077333,0.076145321,0
C00233,0.094737177,0,0.014210362,0
C00235,0.200239574,0,0.086370532,0
C00236,0.286207492,0.000259066,0.015308422,0
C00237,0.152796751,0.000547081,0.026644417,0
C00239,0.073293441,1.20E-18,0.004643717,0
C00242,0.468109323,7.67E-18,0.420365279,0
C00243,0.061806973,0,0.001577007,0
C00245,0.286323053,0.000257108,0.011240356,0
C00246,0.329383172,0,0.162244117,0
C00249,0.378409194,0.000274213,0.132825091,0
C00253,0.088098166,0,0.012915931,0
C00255,0.060722588,1.92E-18,0.022526725,0
C00257,0.211488777,0.000693926,0.043255109,0
C00262,0.420613493,0.00098959,0.339745713,0
C00266,0.297059349,0,0.163596541,0
C00268,0.012714186,1.20E-18,0.001414062,0
C00272,0.069649158,0,0.007346474,0
C00275,0.096573864,0.000539856,0.007318869,0
C00279,0.0957594,0.003695035,0.016983726,0
C00280,0.235478734,0,0.089812878,0
C00283,0.063514991,0.000492684,0.004724729,0
C00286,0.502777148,7.19E-18,0.5149032,0
C00288,0.142301519,0.000720396,0.143251855,0
C00294,0.284398466,0.001707943,0.016300679,0
C00299,0.051511502,1.20E-19,0.005752833,0
C00300,0.285517549,1.26E-18,0.11617729,0
C00301,0.195953664,3.60E-19,0.001489678,0
C00307,0.135083275,0.001062455,0.002538218,0
C00311,0.15284312,0.00444407,0.021029202,0
C00315,0.065158226,0,0.004544383,0
C00319,0.146144388,0,0.015823364,0
C00320,0.014907722,0.001138536,0.010464336,0
C00322,0.043974632,0,0.003696558,0
C00325,0.165289332,0.01266562,0.008229471,0.026705422
C00328,0.11012785,0,0.013998041,0
C00330,0.468113135,0.000873833,0.420362145,0
C00332,0.420578938,6.11E-18,0.149128972,0
C00334,0.285991824,0.001041739,0.016765566,0
C00341,0.200236131,0,0.002824188,0
C00342,0.082923675,0.000268327,0.030365986,0
C00343,0.113663136,0,0.01423564,0
C00345,0.206878173,2.88E-18,0.043327953,0
C00346,0.138969399,0.003353877,0.129108945,0
C00349,0.172059067,0.00077649,0.055256827,0
C00352,0.213706568,0,0.042450199,0
C00354,0.214222589,1.02E-18,0.042456308,0
C00355,0.177378793,0,0.035578908,0
C00356,0.200237875,0.000509924,0.020973175,0
C00357,0.266542615,2.04E-18,0.018565216,0
C00360,0.291835036,1.08E-18,0.007643877,0
C00362,0.502751545,0.000971496,0.514774454,0
C00364,0.075736878,1.08E-18,0.008709581,0
C00365,0.079454344,5.99E-19,0.012798023,0
C00379,0.239076745,0.000481893,0.054638916,0
C00385,0.461910814,5.75E-18,0.416703378,0
